courseID, courseName, credits, prereq, offered
CSC 1230, "Problem Solving and Programming", 5, "[]", "[1, 2, 3]"
CSC 2430, "Data Structures I", 5, "[CSC 1230]", "[2, 3]"
CSC 2431, "Data Structures II", 5, "[CSC 2430]", "[1, 3]"
CSC 3150, "Systems Design", 5, "[CSC 2431]", "[1, 3]"
CSC 3220, "Applications Programming", 4, "[CSC 2430]", "[2, 3]"
CSC 3221, "Netcentric Computing", 4, "[CSC 3220]", "[1, 3]"
CSC 3310, "Concepts in Programming Languages", 4, "[CSC 2431, MAT 1720 | MAT 2720]", "[1]"
CSC 3350, "Operating Systems Programming", 3, "[CSC 2431, CSC 3750 | CSC 3760]", "[3]"
CSC 3430, "Algorithm Design and Analysis", 4, "[CSC 2431, MAT 2200 | MAT 2360, MAT 1720 | MAT 2720]", "[2]"
CSC 4410, "Database Management", 5, "[CSC 3150]", "[1]"
CSC 4898, "Senior Capstone Seminar", 2, "[CSC 4152]", "[1, 3]"
MAT 1234, "Calculus I", 5, "[]", "[1, 2]"
MAT 1235, "Calculus II", 5, "[MAT 1234]", "[2, 3]"
MAT 1236, "Calculus III", 5, "[MAT 1235]", "[1, 3]"
MAT 2200, "Engineering Probability and Statistics", 3, "[MAT 1235]", "[3]"
MAT 2360, "Introduction to Statistics for the Sciences", 5, "[]", "[1, 2, 3]"
MAT 2401, "Linear Algebra", 3, "[MAT 1235]", "[1, 3]"
MAT 3237, "Differential Equations", 3, "[MAT 1236]", "[1, 2]"
PHY 1121, "Physics for Sci & Engineering", 5, "[MAT 1234]", "[1]"
PHY 1122, "Physics for Sci & Engineering", 5, "[PHY 1121]", "[2]"
PHY 1123, "Physics for Sci & Engineering", 5, "[PHY 1122]", "[3]"
CSC 3750, "Computer Architectr/Organztion", 5, "[CSC 2430]", "[2]"
MAT 1720, "Math for Computer Science", 5, "[MAT 1234]", "[1, 2]"
CSC 3760, "Computer Orgnztn & Assem Lang", 5, "[CSC 2430, EE 1210]", "[2]"
EE 1210, "Intro to Logic System Design", 5, "[CSC 1230]", "[1]"
MAT 2720, "Discrete Mathematics", 3, "[MAT 1235]", "[3]"
CSC 3000, "Principles Prof Practice", 1, "[]", "[1, 2]"
CSC 4151, "Software Engineering I", 3, "[CSC 3150, CSC 2431, CSC 3221]", "[1]"
CSC 4152, "Software Engineering II", 3, "[CSC 4151]", "[2]"
CSC 4941, "CSC Internship Review", 1, "[CSC 3000]", "[2, 3]"
CPE 3280, "Microcontroller System Design", 5, "[EE 1210, CSC 3760]", "[3]"
CSC 4220, "Cybersecurity Fundamentals", 3, "[CSC 3221]", "[2]"
CSC 4750, "Computer Networks", 5, "[CSC 3750 | CSC 3760]", "[3]"
CSC 4800, "Adv Issues in Computer Science", 3, "[CSC 3430]", "[3]"
MAT 3380, "Introduction to Data Science", 5, "[MAT 2360 | MAT 2200]", "[1, 2]"
